Title,TopRecommendations
foundation cybersecurity,"['ibm cybersecurity analyst professional certificate', 'sound alarm detection response', 'play safe manage security risk', 'certified cybersecurity specialization', 'ibm isc cybersecurity specialist professional certificate']"
microsoft power bi data analyst professional certificate,"['microsoft power bi power platform productivity specialization', 'master microsoft office power platform specialization', 'ibm data analyst professional certificate', 'ibm business intelligence bi analyst professional certificate', 'ibm data analytics excel r professional certificate']"
data analysis presentation skill pwc approach specialization,"['ibm data analytics excel r professional certificate', 'data analysis visualization foundation specialization', 'share data art visualization', 'speed data analysis presentation building', 'foundation data data everywhere']"
bi foundation sql etl data warehousing specialization,"['ibm data warehouse engineer professional certificate', 'ibm business intelligence bi analyst professional certificate', 'data engineering foundation specialization', 'ibm data management professional certificate', 'generative ai business intelligence bi analyst specialization']"
primeros auxilios psicolgicos pap,"['psychological first aid', 'introduction psychology', 'mental health care fundamental specialization', 'business health care specialization', 'understanding brain neurobiology everyday life']"
capstone applying project management real world,"['project execution running project', 'project planning putting together', 'google project management professional certificate', 'project initiation starting successful project', 'chatgpt project management leveraging ai success specialization']"
microsoft ai product manager professional certificate,"['ibm ai product manager professional certificate', 'ibm product manager professional certificate', 'product management certification specialization', 'generative ai product manager specialization', 'digital product management specialization']"
ibm frontend developer professional certificate,"['meta frontend developer professional certificate', 'ibm java developer professional certificate', 'ibm full stack software developer professional certificate', 'cloud application development foundation specialization', 'ibm fullstack javascript developer professional certificate']"
foundation project management,"['project execution running project', 'google project management professional certificate', 'project planning putting together', 'microsoft project management professional certificate', 'chatgpt project management leveraging ai success specialization']"
generative ai customer support specialization,"['generative ai educator specialization', 'generative ai fundamental specialization', 'generative ai business intelligence bi analyst specialization', 'generative ai everyone', 'ai foundation everyone specialization']"
getting started google workspace specialization,"['gemini google workspace specialization', 'generative ai leader professional certificate', 'chatgpt zapier aipowered email mastery specialization', 'security google cloud specialization', 'foundation data data everywhere']"
improving deep neural network hyperparameter tuning regularization optimization,"['neural network deep learning', 'advanced learning algorithm', 'deep learning specialization', 'deeplearningai tensorflow developer professional certificate', 'ibm deep learning pytorch kera tensorflow professional certificate']"
become cbr certified professional installer google,"['renew cbr professional installer certification', 'bit byte computer networking', 'preparing google cloud certification cloud network engineer professional certificate', 'connect protect network network security', 'preparing google cloud certification cloud security engineer professional certificate']"
ibm ai engineering professional certificate,"['ibm generative ai engineering professional certificate', 'ibm deep learning pytorch kera tensorflow professional certificate', 'deep learning specialization', 'ibm machine learning professional certificate', 'preparing google cloud certification machine learning engineer professional certificate']"
modern contemporary art design specialization,"['indigenous canada', 'graphic design specialization', 'discover art prompting', 'adobe content creator professional certificate', 'meta social medium marketing professional certificate']"
chatgpt zapier aipowered email mastery specialization,"['chatgpt excel personal automation gpts ai zapier specialization', 'generative ai automation specialization', 'prompt engineering chatgpt', 'prompt engineering specialization', 'getting started google workspace specialization']"
successful negotiation essential strategy skill,"['introduction negotiation strategic playbook becoming principled persuasive negotiator', 'career success specialization', 'merger acquisition specialization', 'introduction marketing', 'influencing storytelling change management governance specialization']"
generative ai product owner specialization,"['ibm ai product manager professional certificate', 'product management certification specialization', 'generative ai product manager specialization', 'ibm product owner professional certificate', 'ibm product manager professional certificate']"
business financial modeling specialization,"['financial engineering risk management specialization', 'finance quantitative modeling analyst specialization', 'introduction financial accounting', 'introduction corporate finance', 'financial market']"
mathematics machine learning specialization,"['mathematics machine learning data science specialization', 'linear algebra machine learning data science', 'ibm machine learning professional certificate', 'unsupervised learning recommenders reinforcement learning', 'machine learning specialization']"
meta data analyst professional certificate,"['meta marketing analytics professional certificate', 'ibm data analyst professional certificate', 'ibm business intelligence bi analyst professional certificate', 'ibm data science professional certificate', 'data science fundamental python sql specialization']"
bookkeeping basic,"['intuit academy bookkeeping professional certificate', 'introduction financial accounting', 'introduction finance accounting specialization', 'think like cfo specialization', 'foundation management specialization']"
microsoft power bi power platform productivity specialization,"['master microsoft office power platform specialization', 'microsoft power bi data analyst professional certificate', 'excel skill business specialization', 'chatgpt excel aienhanced data analysis insight specialization', 'microsoft excel professional certificate']"
ai agent agentic ai python powered generative ai specialization,"['agentic ai ai agent leader specialization', 'ai agent developer specialization', 'ai agent java generative ai specialization', 'ibm rag agentic ai professional certificate', 'use ai creative expert partner']"
first step korean,"['writing science', 'english career development', 'work smarter microsoft word', 'tesol certificate part teach english specialization', 'discover art prompting']"
adobe marketing specialist professional certificate,"['like lead interact customer online', 'digital marketing specialization', 'generative ai digital marketing specialization', 'meta social medium marketing professional certificate', 'adobe content creator professional certificate']"
entrepreneurship specialization,"['business strategy specialization', 'private equity venture capital', 'ibm business analyst professional certificate', 'generative ai business analyst specialization', 'business foundation specialization']"
finance quantitative modeling analyst specialization,"['introduction finance accounting specialization', 'introduction corporate finance', 'business financial modeling specialization', 'introduction finance basic', 'financial market']"
data engineering big data machine learning gcp specialization,"['preparing google cloud certification cloud data engineer professional certificate', 'google cloud data analytics professional certificate', 'prepare data exploration', 'deeplearningai data engineering professional certificate', 'introduction data science specialization']"
ai awakening implication economy society,"['stay ahead ai curve', 'generative ai everyone', 'generative ai fundamental specialization', 'google ai essential specialization', 'introduction generative ai']"
information technology cloud fundamental specialization,"['ibm support professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'preparing google cloud certification cloud developer professional certificate', 'preparing google cloud certification cloud architect professional certificate', 'google cloud database engineer specialization']"
ai infrastructure operation fundamental,"['deep learning specialization', 'ibm deep learning pytorch kera tensorflow professional certificate', 'ibm ai engineering professional certificate', 'machine learning google cloud specialization', 'preparing google cloud certification machine learning engineer professional certificate']"
generative ai everyone,"['generative ai fundamental specialization', 'introduction generative ai', 'generative ai data analyst specialization', 'generative ai business intelligence bi analyst specialization', 'generative ai automation specialization']"
introductory human physiology,"['human anatomy medical terminology fundamental specialization', 'understanding brain neurobiology everyday life', 'generative ai human resource hr professional specialization', 'medical neuroscience', 'cancer biology specialization']"
strategic leadership management specialization,"['leadership skill', 'business strategy specialization', 'generative ai leadership strategy specialization', 'leading people team specialization', 'foundation management specialization']"
nasm personal fitness trainer professional certificate,"['stanford introduction food health', 'nursing assistant fundamental specialization', 'business health care specialization', 'integration art science modern dental medicine specialization', 'mental health care fundamental specialization']"
prompt engineering educator specialization,"['generative ai educator teacher specialization', 'generative ai educator specialization', 'generative ai chatgpt k educator specialization', 'prompt engineering specialization', 'generative ai software developer specialization']"
career success specialization,"['project initiation starting successful project', 'capstone applying project management real world', 'project planning putting together', 'chatgpt project management leveraging ai success specialization', 'project execution running project']"
chatgpt excel personal automation gpts ai zapier specialization,"['chatgpt zapier aipowered email mastery specialization', 'agentic ai ai agent leader specialization', 'prompt engineering chatgpt', 'generative ai automation specialization', 'prompt engineering specialization']"
pharmacy technician fundamental specialization,"['human anatomy medical terminology fundamental specialization', 'nursing assistant fundamental specialization', 'medical billing coding fundamental specialization', 'medical office procedure administration fundamental specialization', 'medical neuroscience']"
learn sql basic data science specialization,"['introduction data science specialization', 'data science fundamental python sql specialization', 'prepare data exploration', 'data engineering foundation specialization', 'ibm data architecture professional certificate']"
genomic data science specialization,"['data science foundation using r specialization', 'data analysis r programming', 'introduction data science specialization', 'generative ai data scientist specialization', 'applied data science specialization']"
agile development specialization,"['digital product management specialization', 'ibm product manager professional certificate', 'ibm product owner professional certificate', 'devops cloud agile foundation specialization', 'agile project management']"
stay ahead ai curve,"['use ai responsibly', 'introduction ai', 'use ai creative expert partner', 'ibm darden digital strategy specialization', 'google ai essential specialization']"
game theory,"['epic game game design professional certificate', 'algorithm specialization', 'introduction negotiation strategic playbook becoming principled persuasive negotiator', 'tesol certificate part teach english specialization', 'data structure algorithm specialization']"
certified cybersecurity specialization,"['isc system security certified practitioner sscp', 'ibm isc cybersecurity specialist professional certificate', 'cybersecurity fundamental specialization', 'security google cloud specialization', 'ibm generative ai cybersecurity professional specialization']"
generative ai business intelligence bi analyst specialization,"['generative ai data analyst specialization', 'generative ai fundamental specialization', 'generative ai everyone', 'generative ai data analyst specialization', 'generative ai data scientist specialization']"
regulatory compliance specialization,"['ai law', 'healthcare law specialization', 'play safe manage security risk', 'intellectual property law specialization', 'risk management specialization']"
chatgpt excel aienhanced data analysis insight specialization,"['microsoft excel professional certificate', 'generative ai data analyst specialization', 'excel skill business specialization', 'data analysis visualization foundation specialization', 'ibm data analytics excel r professional certificate']"
ai fundamental nondata scientist,"['deeplearningai tensorflow developer professional certificate', 'improving deep neural network hyperparameter tuning regularization optimization', 'ai everyone', 'neural network deep learning', 'generative ai fundamental specialization']"
ibm system analyst professional certificate,"['sap business analyst professional certificate', 'ibm business analyst professional certificate', 'microsoft business analyst professional certificate', 'google business intelligence professional certificate', 'generative ai business analyst specialization']"
leading modern day business specialization,"['digital product management specialization', 'product management certification specialization', 'ibm ai product manager professional certificate', 'microsoft ai product manager professional certificate', 'ibm product manager professional certificate']"
prompt engineering law specialization,"['ai law', 'prompt engineering chatgpt', 'prompt engineering specialization', 'generative ai assistant specialization', 'generative ai chatgpt k educator specialization']"
microsoft cloud support associate professional certificate,"['microsoft support specialist professional certificate', 'microsoft cybersecurity analyst professional certificate', 'aws cloud support associate professional certificate', 'ibm support professional certificate', 'information technology cloud fundamental specialization']"
financial market,"['preparatory certificate finance financial market specialization', 'financial engineering risk management specialization', 'introduction finance basic', 'introduction corporate finance', 'introduction finance accounting specialization']"
introduction healthcare,"['business health care specialization', 'healthcare law specialization', 'ai healthcare specialization', 'medical billing coding fundamental specialization', 'stanford introduction food health']"
brand management aligning business brand behaviour,"['introduction marketing', 'management fashion luxury company', 'intellectual property law specialization', 'adobe marketing specialist professional certificate', 'business foundation specialization']"
product management certification specialization,"['ibm ai product manager professional certificate', 'ibm product manager professional certificate', 'microsoft ai product manager professional certificate', 'generative ai product manager specialization', 'digital product management specialization']"
business analytics excel elementary advanced,"['ibm business analyst professional certificate', 'microsoft business analyst professional certificate', 'excel skill business specialization', 'data analysis presentation skill pwc approach specialization', 'business analytics specialization']"
bit byte computer networking,"['connect protect network network security', 'preparing google cloud certification cloud network engineer professional certificate', 'algorithm specialization', 'preparing google cloud certification cloud security engineer professional certificate', 'data structure algorithm specialization']"
adobe graphic designer professional certificate,"['graphic design specialization', 'adobe content creator professional certificate', 'google ux design professional certificate', 'generative ai sql database specialist chatgpt specialization', 'build wireframes lowfidelity prototype']"
ibm product manager professional certificate,"['ibm ai product manager professional certificate', 'product management certification specialization', 'microsoft ai product manager professional certificate', 'generative ai product manager specialization', 'digital product management specialization']"
deeplearningai tensorflow developer professional certificate,"['neural network deep learning', 'deep learning specialization', 'ibm deep learning pytorch kera tensorflow professional certificate', 'improving deep neural network hyperparameter tuning regularization optimization', 'natural language processing specialization']"
data science specialization,"['data science foundation using r specialization', 'introduction data science specialization', 'applied data science specialization', 'ibm data science professional certificate', 'generative ai data scientist specialization']"
fundamental cybersecurity specialization,"['cybersecurity fundamental specialization', 'ibm generative ai cybersecurity professional specialization', 'certified cybersecurity specialization', 'google cybersecurity professional certificate', 'ibm isc cybersecurity specialist professional certificate']"
ibm darden digital strategy specialization,"['key technology business specialization', 'ibm ai foundation business specialization', 'google cloud digital leader training professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'google cloud data analytics professional certificate']"
fintech foundation application financial technology specialization,"['financial market', 'tesol certificate part teach english specialization', 'key technology business specialization', 'financial engineering risk management specialization', 'business financial modeling specialization']"
six sigma green belt specialization,"['six sigma yellow belt specialization', 'sap business analyst professional certificate', 'ibm system analyst professional certificate', 'supply chain management specialization', 'management consulting specialization']"
microsoft cybersecurity analyst professional certificate,"['google cloud cybersecurity professional certificate', 'ibm generative ai cybersecurity professional specialization', 'microsoft cloud support associate professional certificate', 'ibm isc cybersecurity specialist professional certificate', 'ibm cybersecurity analyst professional certificate']"
medical office procedure administration fundamental specialization,"['medical billing coding fundamental specialization', 'human anatomy medical terminology fundamental specialization', 'medical neuroscience', 'nursing assistant fundamental specialization', 'introduction healthcare']"
algorithm specialization,"['data structure algorithm specialization', 'game theory', 'bit byte computer networking', 'preparing google cloud certification cloud network engineer professional certificate', 'instructional design foundation application']"
chatgpt project management leveraging ai success specialization,"['project planning putting together', 'project execution running project', 'generative ai project manager specialization', 'google project management professional certificate', 'project initiation starting successful project']"
ibm data warehouse engineer professional certificate,"['ibm relational database administrator professional certificate', 'bi foundation sql etl data warehousing specialization', 'ibm data architecture professional certificate', 'ibm data engineering professional certificate', 'data engineering foundation specialization']"
meta database engineer professional certificate,"['ibm relational database administrator professional certificate', 'google cloud database engineer specialization', 'meta backend developer professional certificate', 'ibm data architecture professional certificate', 'ibm data warehouse engineer professional certificate']"
introduction corporate finance,"['introduction financial accounting', 'introduction finance accounting specialization', 'foundation management specialization', 'finance quantitative modeling analyst specialization', 'introduction finance basic']"
ibm applied devops engineering professional certificate,"['ibm devops software engineering professional certificate', 'devops cloud agile foundation specialization', 'ibm backend javascript developer professional certificate', 'preparing google cloud certification cloud devops engineer professional certificate', 'ibm fullstack javascript developer professional certificate']"
ibm io android mobile app developer professional certificate,"['meta react native specialization', 'meta io developer professional certificate', 'generative ai mobile app developer specialization', 'meta android developer professional certificate', 'ibm java developer professional certificate']"
aws cloud support associate professional certificate,"['aws cloud technology consultant professional certificate', 'microsoft cloud support associate professional certificate', 'aws fundamental specialization', 'ibm support professional certificate', 'aws cloud solution architect professional certificate']"
generative ai assistant specialization,"['generative ai automation specialization', 'prompt engineering specialization', 'generative ai leadership strategy specialization', 'generative ai educator teacher specialization', 'generative ai everyone']"
preparatory certificate finance financial market specialization,"['financial market', 'introduction finance accounting specialization', 'financial engineering risk management specialization', 'introduction finance basic', 'merger acquisition specialization']"
introduction electronics,"['introduction engineering mechanic', 'introduction finance basic', 'introduction generative ai', 'introduction statistic', 'introduction generative ai learning path specialization']"
ibm full stack software developer professional certificate,"['ibm java developer professional certificate', 'ibm fullstack javascript developer professional certificate', 'ibm frontend developer professional certificate', 'ibm backend development professional certificate', 'meta backend developer professional certificate']"
private equity venture capital,"['introduction corporate finance', 'think like cfo specialization', 'introduction finance accounting specialization', 'financial market', 'financial engineering risk management specialization']"
generative ai mobile app developer specialization,"['ibm io android mobile app developer professional certificate', 'generative ai software developer specialization', 'ai foundation everyone specialization', 'generative ai java spring developer specialization', 'ibm ai engineering professional certificate']"
ai medicine specialization,"['machine learning specialization', 'advanced learning algorithm', 'unsupervised learning recommenders reinforcement learning', 'ibm machine learning professional certificate', 'ibm introduction machine learning specialization']"
fundamental quantitative modeling,"['introduction statistic', 'business analytics excel elementary advanced', 'mathematics machine learning data science specialization', 'finance quantitative modeling analyst specialization', 'ibm business analyst professional certificate']"
neural network deep learning,"['improving deep neural network hyperparameter tuning regularization optimization', 'deep learning specialization', 'ibm deep learning pytorch kera tensorflow professional certificate', 'deeplearningai tensorflow developer professional certificate', 'advanced learning algorithm']"
project initiation starting successful project,"['project execution running project', 'chatgpt project management leveraging ai success specialization', 'project planning putting together', 'capstone applying project management real world', 'google project management professional certificate']"
understanding brain neurobiology everyday life,"['introduction psychology', 'mental health care fundamental specialization', 'stanford introduction food health', 'science wellbeing', 'introductory human physiology']"
microsoft project management professional certificate,"['ibm project manager professional certificate', 'project execution running project', 'project planning putting together', 'ibm project manager professional certificate', 'generative ai project manager specialization']"
introduction negotiation strategic playbook becoming principled persuasive negotiator,"['successful negotiation essential strategy skill', 'influencing storytelling change management governance specialization', 'game theory', 'global procurement sourcing specialization', 'generative ai strategic leader specialization']"
project execution running project,"['google project management professional certificate', 'capstone applying project management real world', 'project planning putting together', 'microsoft project management professional certificate', 'project initiation starting successful project']"
attract engage customer digital marketing,"['digital marketing specialization', 'generative ai digital marketing specialization', 'like lead interact customer online', 'foundation digital marketing ecommerce', 'google digital marketing ecommerce professional certificate']"
ibm data analytics excel r professional certificate,"['ibm data analyst professional certificate', 'data analysis visualization foundation specialization', 'ibm business intelligence bi analyst professional certificate', 'ibm data management professional certificate', 'data analysis presentation skill pwc approach specialization']"
speed data analysis presentation building,"['share data art visualization', 'data analysis presentation skill pwc approach specialization', 'foundation data data everywhere', 'prepare data exploration', 'data analysis r programming']"
google cybersecurity professional certificate,"['google cloud cybersecurity professional certificate', 'ibm cybersecurity analyst professional certificate', 'ibm generative ai cybersecurity professional specialization', 'sound alarm detection response', 'google data analytics professional certificate']"
microsoft fullstack developer professional certificate,"['microsoft backend developer professional certificate', 'ibm fullstack javascript developer professional certificate', 'meta backend developer professional certificate', 'meta fullstack developer specialization', 'ibm full stack software developer professional certificate']"
introduction finance accounting specialization,"['introduction financial accounting', 'business foundation specialization', 'think like cfo specialization', 'preparatory certificate finance financial market specialization', 'introduction finance basic']"
unsupervised learning recommenders reinforcement learning,"['ibm machine learning professional certificate', 'machine learning specialization', 'deep learning specialization', 'ibm introduction machine learning specialization', 'advanced learning algorithm']"
programming everybody getting started python,"['crash course python', 'ai python beginner', 'python data science ai development', 'introduction programming python java specialization', 'python programming specialization']"
asset threat vulnerability,"['google cloud cybersecurity professional certificate', 'play safe manage security risk', 'ibm cybersecurity analyst professional certificate', 'sound alarm detection response', 'google cybersecurity professional certificate']"
medical billing coding fundamental specialization,"['human anatomy medical terminology fundamental specialization', 'medical office procedure administration fundamental specialization', 'introduction healthcare', 'medical neuroscience', 'pharmacy technician fundamental specialization']"
google cloud data analytics professional certificate,"['preparing google cloud certification cloud data engineer professional certificate', 'google cloud digital leader training professional certificate', 'data engineering big data machine learning gcp specialization', 'preparing google cloud certification cloud engineer professional certificate', 'generative ai leader professional certificate']"
supervised machine learning regression classification,"['machine learning specialization', 'ibm introduction machine learning specialization', 'ibm machine learning professional certificate', 'unsupervised learning recommenders reinforcement learning', 'deep learning specialization']"
stanford introduction food health,"['business health care specialization', 'introduction psychology', 'healthcare law specialization', 'introduction healthcare', 'mental health care fundamental specialization']"
tool trade linux sql,"['operating system becoming power user', 'ibm relational database administrator professional certificate', 'meta database engineer professional certificate', 'applied software engineering fundamental specialization', 'fundamental cybersecurity specialization']"
leading people team specialization,"['human resource management hr people manager specialization', 'strategic leadership management specialization', 'people soft skill professional personal success specialization', 'ibm project manager professional certificate', 'hrci human resource associate professional certificate']"
meta frontend developer professional certificate,"['meta android developer professional certificate', 'meta backend developer professional certificate', 'ibm frontend developer professional certificate', 'meta io developer professional certificate', 'ibm java developer professional certificate']"
ibm backend development professional certificate,"['ibm backend javascript developer professional certificate', 'ibm full stack software developer professional certificate', 'ibm java developer professional certificate', 'applied software engineering fundamental specialization', 'meta backend developer professional certificate']"
ibm project manager professional certificate,"['ibm project manager professional certificate', 'ibm program manager professional certificate', 'microsoft project management professional certificate', 'google project management professional certificate', 'project initiation starting successful project']"
digital marketing specialization,"['generative ai digital marketing specialization', 'attract engage customer digital marketing', 'artificial intelligence marketing', 'adobe marketing specialist professional certificate', 'foundation digital marketing ecommerce']"
introduction statistic,"['google advanced data analytics professional certificate', 'fundamental quantitative modeling', 'data science fundamental python sql specialization', 'introduction systematic review metaanalysis', 'process data dirty clean']"
google prompting essential specialization,"['design prompt everyday work task', 'use ai creative expert partner', 'start writing prompt like pro', 'prompt engineering specialization', 'use ai responsibly']"
generative ai educator specialization,"['prompt engineering educator specialization', 'generative ai customer support specialization', 'generative ai chatgpt k educator specialization', 'generative ai software developer specialization', 'tesol certificate part teach english specialization']"
analyze data answer question,"['foundation data data everywhere', 'process data dirty clean', 'ibm data analytics excel r professional certificate', 'prepare data exploration', 'data analysis r programming']"
build wireframes lowfidelity prototype,"['foundation user experience ux design', 'start ux design process empathize define ideate', 'google ux design professional certificate', 'ibm uiux designer professional certificate', 'meta android developer professional certificate']"
preparing google cloud certification cloud developer professional certificate,"['preparing google cloud certification cloud engineer professional certificate', 'preparing google cloud certification cloud architect professional certificate', 'preparing google cloud certification cloud network engineer professional certificate', 'preparing google cloud certification cloud devops engineer professional certificate', 'google cloud database engineer specialization']"
google business intelligence professional certificate,"['tableau business intelligence analyst professional certificate', 'ibm business intelligence bi analyst professional certificate', 'sap business analyst professional certificate', 'google data analytics professional certificate', 'ibm business analyst professional certificate']"
microsoft support specialist professional certificate,"['microsoft cloud support associate professional certificate', 'ibm support professional certificate', 'technical support fundamental', 'google support professional certificate', 'microsoft cybersecurity analyst professional certificate']"
data science foundation specialization,"['applied data science specialization', 'ibm machine learning professional certificate', 'introduction data science specialization', 'ibm data science professional certificate', 'linear algebra machine learning data science']"
ibm data architecture professional certificate,"['data engineering foundation specialization', 'ibm relational database administrator professional certificate', 'ibm data engineering professional certificate', 'ibm data management professional certificate', 'prepare data exploration']"
machine learning google cloud specialization,"['preparing google cloud certification machine learning engineer professional certificate', 'deep learning specialization', 'unsupervised learning recommenders reinforcement learning', 'ibm machine learning professional certificate', 'machine learning specialization']"
ibm introduction machine learning specialization,"['ibm machine learning professional certificate', 'machine learning specialization', 'unsupervised learning recommenders reinforcement learning', 'supervised machine learning regression classification', 'deep learning specialization']"
applied software engineering fundamental specialization,"['ibm backend development professional certificate', 'generative ai software developer specialization', 'ibm ai developer professional certificate', 'ibm devops software engineering professional certificate', 'ibm scrum master professional certificate']"
google cloud digital leader training professional certificate,"['google cloud data analytics professional certificate', 'preparing google cloud certification cloud data engineer professional certificate', 'generative ai leader professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'preparing google cloud certification cloud developer professional certificate']"
generative ai data analyst specialization,"['chatgpt excel aienhanced data analysis insight specialization', 'generative ai data analyst specialization', 'generative ai data engineer specialization', 'generative ai data scientist specialization', 'analyze data answer question']"
introduction programming python java specialization,"['crash course python', 'programming everybody getting started python', 'generative ai java spring developer specialization', 'python programming specialization', 'python data science ai development']"
gemini google workspace specialization,"['getting started google workspace specialization', 'generative ai leader professional certificate', 'maximize productivity ai tool', 'use ai responsibly', 'chatgpt excel personal automation gpts ai zapier specialization']"
prompt engineering chatgpt,"['prompt engineering specialization', 'generative ai assistant specialization', 'prompt engineering educator specialization', 'accelerate job search ai', 'generative ai everyone']"
introduction data science specialization,"['data science specialization', 'applied data science specialization', 'data science foundation using r specialization', 'prepare data exploration', 'learn sql basic data science specialization']"
introduction marketing,"['brand management aligning business brand behaviour', 'artificial intelligence marketing', 'digital marketing specialization', 'management fashion luxury company', 'adobe marketing specialist professional certificate']"
generative ai fundamental specialization,"['generative ai everyone', 'generative ai business intelligence bi analyst specialization', 'ai foundation everyone specialization', 'generative ai data analyst specialization', 'ai fundamental nondata scientist']"
microsoft backend developer professional certificate,"['microsoft fullstack developer professional certificate', 'meta backend developer professional certificate', 'ibm backend javascript developer professional certificate', 'ibm backend development professional certificate', 'meta web development fundamental specialization']"
preparing google cloud certification cloud engineer professional certificate,"['preparing google cloud certification cloud architect professional certificate', 'preparing google cloud certification cloud developer professional certificate', 'preparing google cloud certification cloud network engineer professional certificate', 'preparing google cloud certification cloud devops engineer professional certificate', 'preparing google cloud certification cloud security engineer professional certificate']"
ibm java developer professional certificate,"['ibm fullstack javascript developer professional certificate', 'ibm full stack software developer professional certificate', 'ibm frontend developer professional certificate', 'generative ai java spring developer specialization', 'ibm backend javascript developer professional certificate']"
ai law,"['prompt engineering law specialization', 'intellectual property law specialization', 'healthcare law specialization', 'regulatory compliance specialization', 'ai healthcare specialization']"
digital product management specialization,"['agile development specialization', 'ibm product manager professional certificate', 'product management certification specialization', 'ibm ai product manager professional certificate', 'microsoft ai product manager professional certificate']"
microsoft excel professional certificate,"['chatgpt excel aienhanced data analysis insight specialization', 'excel skill business specialization', 'ibm data analytics excel r professional certificate', 'data analysis visualization foundation specialization', 'ibm data analyst professional certificate']"
workday action series,"['workday basic series', 'generative ai human resource hr professional specialization', 'hrci human resource associate professional certificate', 'adp entrylevel payroll specialist professional certificate', 'intuit academy bookkeeping professional certificate']"
generative ai data analyst specialization,"['generative ai data engineer specialization', 'generative ai business intelligence bi analyst specialization', 'generative ai data scientist specialization', 'generative ai data analyst specialization', 'ibm data analyst professional certificate']"
ibm backend javascript developer professional certificate,"['ibm fullstack javascript developer professional certificate', 'javascript programming react node mongodb specialization', 'ibm backend development professional certificate', 'ibm java developer professional certificate', 'microsoft backend developer professional certificate']"
generative ai business analyst specialization,"['ibm business analyst professional certificate', 'microsoft business analyst professional certificate', 'sap business analyst professional certificate', 'generative ai product owner specialization', 'generative ai business intelligence bi analyst specialization']"
ibm generative ai cybersecurity professional specialization,"['google cloud cybersecurity professional certificate', 'microsoft cybersecurity analyst professional certificate', 'ibm isc cybersecurity specialist professional certificate', 'certified cybersecurity specialization', 'ai foundation everyone specialization']"
generative ai sql database specialist chatgpt specialization,"['meta database engineer professional certificate', 'data engineering foundation specialization', 'ibm relational database administrator professional certificate', 'generative ai software development skill certificate', 'ibm data architecture professional certificate']"
influencing storytelling change management governance specialization,"['risk management specialization', 'play safe manage security risk', 'introduction negotiation strategic playbook becoming principled persuasive negotiator', 'agile project management', 'foundation project management']"
maximize productivity ai tool,"['use ai responsibly', 'prompt engineering chatgpt', 'generative ai everyone', 'google ai essential specialization', 'generative ai automation specialization']"
supply chain management specialization,"['global procurement sourcing specialization', 'business analytics specialization', 'six sigma green belt specialization', 'project planning putting together', 'six sigma yellow belt specialization']"
business foundation specialization,"['introduction finance accounting specialization', 'foundation management specialization', 'introduction financial accounting', 'preparatory certificate finance financial market specialization', 'think like cfo specialization']"
introduction generative ai learning path specialization,"['introduction generative ai', 'introduction ai', 'unsupervised learning recommenders reinforcement learning', 'preparing google cloud certification machine learning engineer professional certificate', 'machine learning specialization']"
aws cloud solution architect professional certificate,"['aws fundamental specialization', 'aws generative ai application professional certificate', 'aws cloud technology consultant professional certificate', 'aws cloud support associate professional certificate', 'preparing google cloud certification cloud architect professional certificate']"
share data art visualization,"['foundation data data everywhere', 'speed data analysis presentation building', 'data analysis visualization foundation specialization', 'applied data science specialization', 'data analysis r programming']"
foundation management specialization,"['business foundation specialization', 'introduction corporate finance', 'introduction finance accounting specialization', 'introduction financial accounting', 'think like cfo specialization']"
introduction biology ecology evolution biodiversity specialization,"['medical neuroscience', 'method statistic social science specialization', 'cancer biology specialization', 'introduction data science specialization', 'genomic data science specialization']"
ibm devops software engineering professional certificate,"['ibm applied devops engineering professional certificate', 'devops cloud agile foundation specialization', 'ibm scrum master professional certificate', 'applied software engineering fundamental specialization', 'preparing google cloud certification cloud devops engineer professional certificate']"
google support professional certificate,"['microsoft support specialist professional certificate', 'technical support fundamental', 'microsoft cloud support associate professional certificate', 'ibm support professional certificate', 'ibm isc cybersecurity specialist professional certificate']"
applied data science specialization,"['ibm data science professional certificate', 'data science foundation using r specialization', 'introduction data science specialization', 'data analysis visualization foundation specialization', 'data science specialization']"
generative ai hr professional specialization,"['generative ai human resource hr professional specialization', 'human resource management hr people manager specialization', 'hrci human resource associate professional certificate', 'generative ai large language model', 'generative ai strategic leader specialization']"
isc system security certified practitioner sscp,"['certified cybersecurity specialization', 'ibm isc cybersecurity specialist professional certificate', 'security google cloud specialization', 'cybersecurity fundamental specialization', 'foundation cybersecurity']"
machine learning production,"['ibm machine learning professional certificate', 'unsupervised learning recommenders reinforcement learning', 'machine learning google cloud specialization', 'machine learning specialization', 'ibm introduction machine learning specialization']"
generative ai large language model,"['neural network deep learning', 'advanced learning algorithm', 'generative ai engineering llm specialization', 'improving deep neural network hyperparameter tuning regularization optimization', 'ai infrastructure operation fundamental']"
tesol certificate part teach english specialization,"['arizona state university tesol professional certificate', 'tesol certificate part teach english specialization', 'english career development', 'improve english communication skill specialization', 'instructional design foundation application']"
data analysis r programming,"['data science foundation using r specialization', 'foundation data data everywhere', 'share data art visualization', 'prepare data exploration', 'process data dirty clean']"
master microsoft office power platform specialization,"['microsoft power bi power platform productivity specialization', 'microsoft power bi data analyst professional certificate', 'work smarter microsoft word', 'microsoft fundamental specialization', 'microsoft excel professional certificate']"
